,MAE,RMSE,R2
Linear Regression,5.621037623324263,7.042130245421615,0.4343903709213627
Decision Tree,4.230178747669701,5.615186667169746,0.640385591168654
Random Forest,3.1967447362649413,4.050115473165998,0.8129130481328902
XGBoost,3.14762020111084,3.9698261393953223,0.8202571272850037
